desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,nmun,prec,probprec,raf,temp,velvien
Cielo cubierto,6,Noroeste,311.95,12.36,Lunes,20230417T02,95.03,30,136,19.5931,-96.9896,Veracruz de Ignacio de la Llave,114,Rafael Lucio, 0.00, 0.00,11.35,12.70, 6.89
Cielo nublado,6,Oeste,264.05,16.73,Lunes,20230417T02,93.93,30,186,19.0315,-97.0103,Veracruz de Ignacio de la Llave,114,Tomatlán, 0.03, 0.00, 3.45,17.16, 3.15
Medio nublado,6,Sur,161.34,17.51,Lunes,20230417T02,53.00,20,11,17.5329,-98.2784,Oaxaca,114,Calihualá, 0.02, 0.00,11.74,21.96, 8.97
Medio nublado,6,Noroeste,299.75,16.09,Lunes,20230417T02,79.37,20,13,16.8971,-96.7666,Oaxaca,114,Ciénega de Zimatlán, 0.18,20.00, 7.04,17.67, 6.57
Poco nuboso,6,Noreste,43.94,18.00,Lunes,20230417T02,63.41,20,20,17.0378,-97.9415,Oaxaca,114,Constancia del Rosario, 0.00, 0.00, 5.53,21.19, 4.77
Poco nuboso,6,Noroeste,321.07,15.33,Lunes,20230417T02,81.40,20,23,16.9960,-96.7806,Oaxaca,114,Cuilápam de Guerrero, 0.11,95.00, 7.87,16.73, 7.23
Cielo cubierto,6,Noreste,65.70,16.12,Lunes,20230417T02,98.90,20,27,17.9954,-96.7454,Oaxaca,114,Chiquihuitlán de Benito Juárez, 1.20, 0.00, 7.60,16.20, 4.80
Medio nublado,6,Este,80.56,13.73,Lunes,20230417T02,91.55,20,45,17.2421,-96.8211,Oaxaca,114,Magdalena Apasco, 0.43, 0.00,10.66,14.32, 8.36
Medio nublado,6,Noreste,55.61,14.76,Lunes,20230417T02,85.75,20,47,17.8070,-97.4707,Oaxaca,114,Santa Magdalena Jicotlán, 0.60, 0.00,13.96,15.80,10.45
Medio nublado,6,Sur,171.65,17.16,Lunes,20230417T02,76.80,20,49,16.7095,-96.7124,Oaxaca,114,Magdalena Ocotlán, 0.35,20.00, 4.70,18.99, 4.49
Medio nublado,6,Sur,162.49,16.96,Lunes,20230417T02,75.90,20,69,16.6300,-96.7997,Oaxaca,114,La Pe, 0.11,80.00, 4.65,18.87, 4.45
Despejado,6,Noreste,35.28,21.45,Lunes,20230417T02,74.64,20,70,16.4284,-97.9774,Oaxaca,114,Pinotepa de Don Luis, 0.00, 0.00, 3.60,23.55, 3.37
