ides,idmun,time,tmax,tmin
5.0,23.0,2023-04-14 12:00:00,29.015,15.58
5.0,23.0,2023-04-15 12:00:00,27.665,15.375
5.0,24.0,2023-04-12 12:00:00,27.67,14.16
5.0,24.0,2023-04-13 12:00:00,28.935,15.515
5.0,24.0,2023-04-14 12:00:00,29.05,16.23
5.0,24.0,2023-04-15 12:00:00,28.44,15.535
5.0,25.0,2023-04-12 12:00:00,29.42,14.31
5.0,25.0,2023-04-13 12:00:00,30.545,15.240000000000002
5.0,25.0,2023-04-14 12:00:00,33.260000000000005,18.335
5.0,25.0,2023-04-15 12:00:00,35.120000000000005,19.01
5.0,26.0,2023-04-12 12:00:00,28.13,16.09
5.0,26.0,2023-04-13 12:00:00,29.465,17.509999999999998
5.0,26.0,2023-04-14 12:00:00,32.355,20.3
5.0,26.0,2023-04-15 12:00:00,34.099999999999994,20.18
5.0,27.0,2023-04-12 12:00:00,25.91,13.86
5.0,27.0,2023-04-13 12:00:00,27.23,15.69
5.0,27.0,2023-04-14 12:00:00,29.165,17.73
5.0,27.0,2023-04-15 12:00:00,29.82,17.755000000000006
5.0,28.0,2023-04-12 12:00:00,28.21,15.44
5.0,28.0,2023-04-13 12:00:00,29.34,16.675
5.0,28.0,2023-04-14 12:00:00,32.045,19.215
5.0,28.0,2023-04-15 12:00:00,34.02,19.19
5.0,29.0,2023-04-12 12:00:00,27.12,15.87
5.0,29.0,2023-04-13 12:00:00,28.31,16.915
5.0,29.0,2023-04-14 12:00:00,31.004999999999995,18.52
5.0,29.0,2023-04-15 12:00:00,32.41499999999999,18.415
5.0,30.0,2023-04-12 12:00:00,22.7,11.92
5.0,30.0,2023-04-13 12:00:00,24.295,12.87
5.0,30.0,2023-04-14 12:00:00,25.115,14.42
5.0,30.0,2023-04-15 12:00:00,23.8,14.125
5.0,31.0,2023-04-12 12:00:00,26.07,12.88
5.0,31.0,2023-04-13 12:00:00,27.415,14.47
5.0,31.0,2023-04-14 12:00:00,29.425,16.195
5.0,31.0,2023-04-15 12:00:00,29.705,15.420000000000002
5.0,32.0,2023-04-12 12:00:00,28.9,14.97
5.0,32.0,2023-04-13 12:00:00,30.01,16.240000000000002
5.0,32.0,2023-04-14 12:00:00,32.315,18.76
5.0,32.0,2023-04-15 12:00:00,34.2,18.655
5.0,33.0,2023-04-12 12:00:00,29.62,14.81
5.0,33.0,2023-04-13 12:00:00,30.615,16.76
5.0,33.0,2023-04-14 12:00:00,30.645,17.04
5.0,33.0,2023-04-15 12:00:00,30.35,15.919999999999998
5.0,34.0,2023-04-12 12:00:00,27.82,16.2
5.0,34.0,2023-04-13 12:00:00,29.245,16.715
5.0,34.0,2023-04-14 12:00:00,29.695,15.32
5.0,34.0,2023-04-15 12:00:00,28.17,14.175
5.0,35.0,2023-04-12 12:00:00,28.29,16.49
5.0,35.0,2023-04-13 12:00:00,28.985,17.115
5.0,35.0,2023-04-14 12:00:00,29.145,16.715
5.0,35.0,2023-04-15 12:00:00,28.42,15.815
5.0,36.0,2023-04-12 12:00:00,29.36,14.28
5.0,36.0,2023-04-13 12:00:00,30.545,15.45
5.0,36.0,2023-04-14 12:00:00,30.50500000000001,16.09
5.0,36.0,2023-04-15 12:00:00,29.79,15.270000000000003
5.0,37.0,2023-04-12 12:00:00,27.1,15.47
5.0,37.0,2023-04-13 12:00:00,28.125,16.79
5.0,37.0,2023-04-14 12:00:00,31.185,19.155
5.0,37.0,2023-04-15 12:00:00,33.335,18.675
5.0,38.0,2023-04-12 12:00:00,27.49,14.69
5.0,38.0,2023-04-13 12:00:00,28.58,16.02
5.0,38.0,2023-04-14 12:00:00,31.31,18.435
5.0,38.0,2023-04-15 12:00:00,32.485,17.23
6.0,1.0,2023-04-12 12:00:00,29.97,18.82
6.0,1.0,2023-04-13 12:00:00,30.165,18.535
6.0,1.0,2023-04-14 12:00:00,30.39,18.68
6.0,1.0,2023-04-15 12:00:00,30.89,19.555
6.0,2.0,2023-04-12 12:00:00,33.86,17.37
6.0,2.0,2023-04-13 12:00:00,33.94,16.93
6.0,2.0,2023-04-14 12:00:00,34.445,17.174999999999994
6.0,2.0,2023-04-15 12:00:00,35.2,18.5
6.0,3.0,2023-04-12 12:00:00,31.85,15.55
6.0,3.0,2023-04-13 12:00:00,31.65,15.335
6.0,3.0,2023-04-14 12:00:00,31.97,15.784999999999998
6.0,3.0,2023-04-15 12:00:00,32.995000000000005,17.214999999999996
6.0,4.0,2023-04-12 12:00:00,32.64,17.37
6.0,4.0,2023-04-13 12:00:00,32.655,17.125
6.0,4.0,2023-04-14 12:00:00,33.0,17.47
6.0,4.0,2023-04-15 12:00:00,33.77,18.705
6.0,5.0,2023-04-12 12:00:00,29.21,15.03
6.0,5.0,2023-04-13 12:00:00,29.14,14.83
6.0,5.0,2023-04-14 12:00:00,29.63000000000001,15.24
6.0,5.0,2023-04-15 12:00:00,30.665,16.47
6.0,6.0,2023-04-12 12:00:00,33.1,17.75
6.0,6.0,2023-04-13 12:00:00,33.35,17.2
6.0,6.0,2023-04-14 12:00:00,33.93,17.27
6.0,6.0,2023-04-15 12:00:00,34.62,18.465
