cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
71.81,Cielo nublado,6,Sur,161.35,20230413T12,20,216,17.305,-96.207,1,Oaxaca,San Juan Tabaá,16.66,95.0,12.99,26.18,15.26,6.37
33.73,Medio nublado,6,Sur,187.76,20230414T12,20,216,17.305,-96.207,2,Oaxaca,San Juan Tabaá,15.16,95.0,14.15,28.9,16.13,6.44
48.28,Medio nublado,6,Sur,182.74,20230415T12,20,216,17.305,-96.207,3,Oaxaca,San Juan Tabaá,27.87,95.0,19.53,28.87,14.16,6.66
82.45,Cielo cubierto,6,Sureste,129.88,20230412T12,20,228,18.2065,-96.9131,0,Oaxaca,San Lorenzo Cuaunecuiltitla,2.15,95.0,14.0,22.67,15.26,5.17
57.25,Cielo nublado,6,Sur,168.6,20230413T12,20,228,18.2065,-96.9131,1,Oaxaca,San Lorenzo Cuaunecuiltitla,3.83,95.0,12.65,29.27,17.05,6.2
24.87,Poco nuboso,6,Sur,158.1,20230414T12,20,228,18.2065,-96.9131,2,Oaxaca,San Lorenzo Cuaunecuiltitla,0.37,80.0,13.14,32.06,19.31,6.06
24.9,Poco nuboso,6,Sureste,152.94,20230415T12,20,228,18.2065,-96.9131,3,Oaxaca,San Lorenzo Cuaunecuiltitla,3.49,95.0,15.46,32.39,17.7,5.79
58.16,Cielo nublado,6,Sur,189.06,20230412T12,20,238,16.6565,-96.729,0,Oaxaca,San Martín de los Cansecos,11.02,95.0,12.75,29.26,15.52,5.02
47.53,Medio nublado,6,Suroeste,207.99,20230413T12,20,238,16.6565,-96.729,1,Oaxaca,San Martín de los Cansecos,3.38,95.0,22.15,29.52,16.15,6.92
19.73,Poco nuboso,6,Suroeste,211.23,20230414T12,20,238,16.6565,-96.729,2,Oaxaca,San Martín de los Cansecos,1.52,95.0,19.6,31.77,17.67,6.31
