Cve_Ent,Cve_Mun,Value,tmax,tmin
7,31,365,31.564999999999998,17.155
7,31,365,33.175,18.215
7,32,365,29.1,18.47
7,32,365,28.97,18.424999999999997
7,32,365,28.85,18.45
7,32,365,29.14,18.674999999999997
7,33,610,26.12,18.79
7,33,610,28.46,19.83
7,33,610,32.695,21.17
7,33,610,34.730000000000004,21.35
7,34,775,28.75,16.48
7,34,775,29.165,16.945
7,34,775,30.52,17.685000000000002
7,34,775,31.59,18.34
7,35,263,34.51,24.62
7,35,263,34.56,24.525
7,35,263,34.43,24.58
7,35,263,34.260000000000005,24.66
7,36,383,21.29,11.8
7,36,383,21.384999999999998,12.24
7,36,383,22.48,12.94
7,36,383,23.435000000000002,13.425
7,37,896,32.1,22.87
7,37,896,31.72,22.695
7,37,896,31.655,22.6
7,37,896,32.059999999999995,22.71
7,38,740,19.04,9.41
7,38,740,21.28,10.16
7,38,740,23.965,11.27
7,38,740,24.744999999999997,12.23
7,39,928,23.37,15.21
7,39,928,26.009999999999998,15.525
7,39,928,30.16,16.285
7,39,928,31.765,17.195
7,40,372,32.7,22.78
7,40,372,32.38,22.665
7,40,372,32.290000000000006,22.65
7,40,372,32.650000000000006,22.775
7,41,999,23.81,14.45
7,41,999,24.91,14.774999999999999
7,41,999,27.490000000000002,15.135
7,41,999,29.265,15.73
7,42,255,22.88,15.49
7,42,255,25.455,16.25
7,42,255,29.490000000000002,17.005000000000003
7,42,255,30.97,17.54
7,43,653,26.52,18.45
7,43,653,28.39,19.57
7,43,653,31.765,21.035
7,43,653,33.655,21.39
7,44,757,24.78,14.91
7,44,757,27.08,15.895
7,44,757,29.75,17.02
7,44,757,30.855,17.619999999999997
7,45,426,28.16,19.19
7,45,426,29.75,20.28
7,45,426,33.005,21.765
7,45,426,35.2,22.155
7,46,845,32.44,20.07
7,46,845,34.01,20.805
7,46,845,35.980000000000004,21.740000000000002
7,46,845,36.59,22.145000000000003
7,47,269,22.57,13.35
7,47,269,25.05,14.045
7,47,269,28.384999999999998,14.92
7,47,269,29.515,15.55
7,48,372,30.32,21.51
7,48,372,31.975,22.475
7,48,372,35.58,24.060000000000002
7,48,372,37.965,24.605
7,49,183,20.71,11.6
7,49,183,22.98,12.370000000000001
7,49,183,26.02,13.47
7,49,183,27.119999999999997,14.365
7,50,906,29.68,19.5
7,50,906,31.895,20.115000000000002
7,50,906,36.125,21.835
7,50,906,37.65,23.185000000000002
7,51,693,29.37,17.87
7,51,693,29.095,17.955
7,51,693,29.09,18.4
7,51,693,29.439999999999998,19.095
7,52,278,23.68,14.94
7,52,278,25.02,15.145
7,52,278,27.98,15.379999999999999
7,52,278,29.885,15.989999999999998
7,53,663,19.21,12.05
7,53,663,19.315,12.17
7,53,663,20.16,12.465
7,53,663,21.0,12.885000000000002
7,54,248,31.38,24.97
7,54,248,31.32,24.945
7,54,248,31.5,25.15
7,54,248,31.72,25.395
7,55,306,34.54,23.73
7,55,306,34.485,23.585
7,55,306,34.364999999999995,23.565
7,55,306,34.254999999999995,23.665
7,56,876,18.91,9.37
7,56,876,21.384999999999998,10.105
7,56,876,24.305,11.16
7,56,876,25.025,12.09
7,57,497,23.14,15.1
7,57,497,22.725,15.07
7,57,497,22.615000000000002,15.145
7,57,497,23.32,15.475
7,58,689,27.21,15.88
7,58,689,28.525,16.94
7,58,689,30.915,18.494999999999997
7,58,689,32.485,19.674999999999997
7,59,724,27.21,18.0
7,59,724,28.77,18.215
7,59,724,32.18,18.59
7,59,724,34.175,19.205
7,60,170,25.06,17.24
7,60,170,27.615000000000002,18.305
7,60,170,31.574999999999996,19.29
7,60,170,33.114999999999995,19.565
7,61,309,28.77,17.69
7,61,309,31.185000000000002,18.880000000000003
7,61,309,34.69,19.990000000000002
7,61,309,36.05499999999999,20.14
7,62,209,29.22,20.64
7,62,209,30.77,21.68
7,62,209,34.39,23.27
7,62,209,36.79,23.685000000000002
7,63,911,28.61,16.61
7,63,911,31.325,17.93
7,63,911,34.42,19.16
7,63,911,35.06,19.605
7,64,643,20.07,10.43
7,64,643,22.345,11.11
7,64,643,25.515,12.35
7,64,643,26.715,13.485
7,65,167,29.84,19.46
7,65,167,31.905,20.365000000000002
7,65,167,36.099999999999994,22.25
7,65,167,37.905,23.365000000000002
7,66,536,23.19,12.53
7,66,536,25.62,13.344999999999999
7,66,536,29.205,14.805
7,66,536,30.68,16.005
7,67,411,24.18,15.64
7,67,411,26.68,16.705
7,67,411,30.115000000000002,17.595
7,67,411,31.175,17.975
7,68,738,28.88,20.52
7,68,738,30.369999999999997,21.645
7,68,738,33.54,23.28
7,68,738,35.805,23.68
7,69,204,32.24,20.14
7,69,204,31.955000000000002,20.33
7,69,204,31.805,20.924999999999997
7,69,204,32.035000000000004,21.54
7,70,129,20.46,12.29
7,70,129,20.52,12.545
7,70,129,21.375,13.010000000000002
7,70,129,22.05,13.48
7,71,331,33.66,23.26
7,71,331,33.349999999999994,23.185000000000002
7,71,331,33.215,23.205
7,71,331,33.475,23.32
7,72,841,22.33,14.63
